Ad report
"March 31, 2026 - April 27, 2026"
Ad status,Final URL,Headline 1,Headline 1 position,Headline 2,Headline 2 position,Headline 3,Headline 3 position,Headline 4,Headline 4 position,Headline 5,Headline 5 position,Headline 6,Headline 6 position,Headline 7,Headline 7 position,Headline 8,Headline 8 position,Headline 9,Headline 9 position,Headline 10,Headline 10 position,Headline 11,Headline 11 position,Headline 12,Headline 12 position,Headline 13,Headline 13 position,Headline 14,Headline 14 position,Headline 15,Headline 15 position,Description 1,Description 1 position,Description 2,Description 2 position,Description 3,Description 3 position,Description 4,Description 4 position,Path 1,Path 2,Mobile final URL,Tracking template,Final URL suffix,Custom parameter,Campaign,Ad group,Status,Status reasons,Ad strength,Ad strength improvements,Ad type,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conv. rate,Conversions,Cost / conv.
Enabled,https://moldcure.com/service/mold-testing-and-inspections,{KeyWord:Certified Mold Assessment},1,Professional Mold Inspection,1,DE's Mold Testing Experts,1,Same-Day Mold Testing {LOCATION(City):Near You},1,Full Home Mold Inspection,1,Best Mold Detection Service,1,{LOCATION(City):DE}'s Mold Inspection Expert,1,Air & Surface Mold Testing, --,HomeAdvisor Top Rated, --,Save $1000s - No Demo Needed, --,99.9% Mold Removed in 4-12 Hrs, --,NORMI-Accredited Inspectors, --,100s of 5-Star Mold Reviews, --,Indoor Air Quality Testing, --, --, --,Certified mold inspectors. 99% detection accuracy. Same-day testing with full lab report., --,Find hidden mold with 99% detection accuracy. Full assessment + lab report in 24–48 hrs., --,"Full-home assessment. Stop mold early & save $1,000s. No demolition.", --,"MoldCure Are Mold Testing, Inspection, & Remediation Specialists. 12-Mo Guarantee", --,mold-testing,and-inspections,, --, --,,[Core] [Search] Mold Services - Delaware,Mold Testing & Inspections,Eligible,,Good,Try including more keywords in your descriptions;Try adding a few more unique headlines or unpinning some assets,Responsive search ad,1,18,5.56%,USD,9.91,9.91,0.00%,0.00,0.00
Enabled,https://www.moldcure.com/service/mold-remediation,{KeyWord:Mold Removal Company Near You}, --,Rated #1 Mold Cleanup Experts, --,1-Day Mold Abatement | No Demo, --,Severe Mold? We Fix in 4-12hrs, --,Complete Mold Removal in 1 Day, --,Expert Mold Mitigation Service, --,{LOCATION(City):DE}'s Mold Removal Specialist, --,Black Mold Remediation Service, --,Delaware Mold Removal Pros, --,USA's Patented Dry Fog Tech, --,99.9% Mold Gone in 4-12 Hours, --,Save $1000s With No Demolition, --,12-Month Mold-Free Guarantee, --,NORMI & MICRO Certified Team, --,Book Same-Day Mold Removal, --,99.9% mold eliminated in 4-12h. 12-mo guarantee. Patented dry fog tech proven by US Army, --,"Save $1,000s—no demolition. Non-toxic, family-safe mold treatment. MICRO-certified experts", --,NORMI & MICRO certified mold specialists. Patented dry fog tech tested by US Army., --,"Mold Cure Are Mold Testing, Inspection, Remediation Expert. 12-Mo Guarantee", --,mold-removal,and-remediation,, --, --,,[Core] [Search] Mold Services - Delaware,Mold Remediation,Eligible,,Excellent,,Responsive search ad,0,3,0.00%,USD,0,0.00,0.00%,0.00,0.00
Enabled,https://moldcure.com/service/mold-testing-and-inspections,Thorough Mold Inspection, --,Professional Testing For Mold, --,Mold Assessment and Testing, --,Indoor Air Quality Testing, --,{KeyWord:Air Quality Testing}, --,Professional Mold Testing, --,Mold Testing & Inspections, --,DE's Trusted Mold Specialists, --,Multiple Types of Test Offered, --,"""Best Decision Ever"" - 5 Stars", --,5-Star Customer Reviews, --,Mold Inspection {LOCATION(City):Delaware}, --,"Find Out If, Why There's Mold", --,Certified Mold Inspectors, --,Know The Health of Your Home, --,"Delaware's #1 Mold Specialists. From Testing To Remediation, Your Mold Problem, Resolved.", --,Tests Will Be Run Through a Verified Independent Lab & You'll Receive a Report., --,#1 Rated Mold Specialists in Delaware | We'll Diagnose & Cure Your Mold Problem, --,"Mold Cure Are Mold Testing, Inspection, & Remediation Specialists. 12-Mo Guarantee", --,mold-testing,and-inspections,, --, --,,[Core] [Search] Mold Services - Delaware,Mold Testing & Inspections,Eligible,,Excellent,,Responsive search ad,2,9,22.22%,USD,9.20,18.40,0.00%,0.00,0.00
Enabled,https://www.moldcure.com/service/mold-remediation,1-Day Mold Removal {LOCATION(City):Near You}, --,"Stop Mold, Protect Your Family", --,Mold Clean Up Services, --,Whole Home Mold Treatment, --,Stop The Spread of Mold Today, --,Destroy The Mold In Your Home, --,{LOCATION(City):Delaware}'s Fastest Mold Fix, --,99.9% of Mold Destroyed, --,Like It Never Even Happened, --,100+ 5-Star Reviews, --,{LOCATION(City):Delaware}'s #1 Mold Experts, --,We Get Rid of Mold - For Good, --,{Keyword:Black Mold Removal Services}, --,Mold Problems Solved in 1 Day, --,"""Best Decision Ever"" - 5 Stars", --,Specialist Mold Removal Services | We Solve Your Mold Problems in 1 Day | Get A Free Quote, --,Our Patented Dry Fog Destroys 99.9% Of Mold & Is On EPA Safer Chemicals List. #1 Choice., --,#1 Rated Mold Remediation Company in Delaware | We Get Rid Of Mold & Stop It Returning, --,"Mold Cure Delaware are Mold Testing, Inspections, Remediation & Prevention Specialists", --,mold-removal,and-remediation,, --, --,,[Core] [Search] Mold Services - Delaware,Mold Remediation,Eligible,,Excellent,,Responsive search ad,0,8,0.00%,USD,0,0.00,0.00%,0.00,0.00
Enabled,https://moldcure.com/service/mold-testing-and-inspections,{KeyWord:Certified Mold Assessment},1,Professional Mold Inspection,1,PA's Mold Testing Experts,1,Same-Day Mold Testing {LOCATION(City):Near You},1,Full Home Mold Inspection,1,Best Mold Detection Service,1,{LOCATION(City):PA}'s Mold Inspection Expert,1,Air & Surface Mold Testing, --,HomeAdvisor Top Rated, --,Save $1000s - No Demo Needed, --,99.9% Mold Removed in 4-12 Hrs, --,NORMI-Accredited Inspectors, --,100s of 5-Star Mold Reviews, --,Indoor Air Quality Testing, --, --, --,Certified mold inspectors. 99% detection accuracy. Same-day testing with full lab report., --,Find hidden mold with 99% detection accuracy. Full assessment + lab report in 24–48 hrs., --,"Full-home assessment. Stop mold early & save $1,000s. No demolition.", --,"MoldCure Are Mold Testing, Inspection, & Remediation Specialists. 12-Mo Guarantee", --,mold-testing,and-inspections,, --, --,,[Core] [Search] Mold Services - Pennsylvania [PENDING],Mold Testing & Inspections,Not eligible,campaign paused,Poor,Try including more keywords in your headlines;Try including more keywords in your descriptions;Add 6 more sitelinks in your ad,Responsive search ad,1,2,50.00%,USD,2.08,2.08,0.00%,0.00,0.00
Enabled,https://www.moldcure.com/service/mold-remediation,{KeyWord:Mold Removal Company Near You}, --,Rated #1 Mold Cleanup Experts, --,1-Day Mold Abatement | No Demo, --,Severe Mold? We Fix in 4-12hrs, --,Complete Mold Removal in 1 Day, --,Expert Mold Mitigation Service, --,{LOCATION(City):PA}'s Mold Removal Specialist, --,Black Mold Remediation Service, --,Pennsylvania Mold Removal Pros, --,USA's Patented Dry Fog Tech, --,99.9% Mold Gone in 4-12 Hours, --,Save $1000s With No Demolition, --,12-Month Mold-Free Guarantee, --,NORMI & MICRO Certified Team, --,Book Same-Day Mold Removal, --,99.9% mold eliminated in 4-12h. 12-mo guarantee. Patented dry fog tech proven by US Army, --,"Save $1,000s—no demolition. Non-toxic, family-safe mold treatment. MICRO-certified experts", --,NORMI & MICRO certified mold specialists. Patented dry fog tech tested by US Army., --,"Mold Cure Are Mold Testing, Inspection, Remediation Expert. 12-Mo Guarantee", --,mold-removal,and-remediation,, --, --,,[Core] [Search] Mold Services - Pennsylvania [PENDING],Mold Remediation,Not eligible,campaign paused,Poor,Try including more keywords in your headlines;Try including more keywords in your descriptions;Add 6 more sitelinks in your ad,Responsive search ad,0,15,0.00%,USD,0,0.00,0.00%,0.00,0.00
Enabled,https://www.moldcure.com/service/mold-remediation,1-Day Mold Removal {LOCATION(City):Near You}, --,"Stop Mold, Protect Your Family", --,Mold Clean Up Services, --,Whole Home Mold Treatment, --,Stop The Spread of Mold Today, --,Destroy The Mold In Your Home, --,Fastest Mold Fix {LOCATION(City):Pennsylvania}, --,99.9% of Mold Destroyed, --,Like It Never Even Happened, --,100+ 5-Star Reviews, --,{LOCATION(City):Pennsylvania}'s #1 Mold Experts, --,We Get Rid of Mold - For Good, --,{Keyword:Black Mold Removal Services}, --,Mold Problems Solved in 1 Day, --,"""Best Decision Ever"" - 5 Stars", --,Specialist Mold Removal Services | We Solve Your Mold Problems in 1 Day | Get A Free Quote, --,Our Patented Dry Fog Destroys 99.9% Of Mold & Is On EPA Safer Chemicals List. #1 Choice., --,#1 Rated Mold Remediation Company in Pennsylvania | We Get Rid Of Mold & Stop It Returning, --,"Mold Cure Pennsylvania are Mold Testing, Inspections, Remediation & Prevention Specialists", --,mold-removal,and-remediation,, --, --,,[Core] [Search] Mold Services - Pennsylvania [PENDING],Mold Remediation,Not eligible,campaign paused,Poor,Try including more keywords in your headlines;Try including more keywords in your descriptions;Add 6 more sitelinks in your ad,Responsive search ad,0,29,0.00%,USD,0,0.00,0.00%,0.00,0.00
Enabled,https://moldcure.com/service/mold-testing-and-inspections,Thorough Mold Inspection, --,Professional Testing For Mold, --,Mold Assessment and Testing, --,Indoor Air Quality Testing, --,{KeyWord:Air Quality Testing}, --,Professional Mold Testing, --,Mold Testing & Inspections, --,PA's Trusted Mold Specialists, --,Multiple Types of Test Offered, --,"""Best Decision Ever"" - 5 Stars", --,5-Star Customer Reviews, --,Mold Inspection {LOCATION(City):Pennsylvania}, --,"Find Out If, Why There's Mold", --,Certified Mold Inspectors, --,Know The Health of Your Home, --,"PA's #1 Mold Specialists. From Testing To Remediation, Your Mold Problem, Resolved.", --,Tests Will Be Run Through a Verified Independent Lab & You'll Receive a Report., --,#1 Rated Mold Specialists in Pennsylvania | We'll Diagnose & Cure Your Mold Problem, --,"Mold Cure Are Mold Testing, Inspection, & Remediation Specialists. 12-Mo Guarantee", --,mold-testing,and-inspections,, --, --,,[Core] [Search] Mold Services - Pennsylvania [PENDING],Mold Testing & Inspections,Not eligible,campaign paused,Poor,Try including more keywords in your headlines;Try including more keywords in your descriptions;Add 6 more sitelinks in your ad,Responsive search ad,1,4,25.00%,USD,2.78,2.78,0.00%,0.00,0.00
Enabled,https://www.moldcure.com/service/mold-remediation,Mold Removal. Guaranteed, --,Mold Sanitization Experts, --,Request A Free Consultation, --,Call Us Today, --,Breathe Easy Again, --,"Mold Inspection, Done Right", --,DC's Trusted Mold Testing, --,Your Mold Solution Awaits, --,We Will Cure Your Mold, --,Serving DC, --,Safe & Affordable Mold Cure, --,We Identify & Resolve Mold, --,Schedule a Free Consultation, --,Mold Cure, --, --, --,Get Your Mold Problems Cured by the Trusted Mold Sanitization Experts at Mold Cure., --,Mold Cure: Breathe Easier with Our Expert Mold Remediation Services, --,Stop Mold in its Tracks! Mold Cure's Expert Mold Inspection Services, --,"We Use a Patented Dry Fog Process That's Safe, Effective, and Affordable.", --,mold-removal,and-remediation,, --, --,,[Core] [Search] Mold Services - DC,Mold Remediation,Eligible,,Excellent,,Responsive search ad,11,457,2.41%,USD,9.14,100.55,9.09%,1.00,100.55
Enabled,https://www.moldcure.com/service/mold-remediation,1-Day Mold Removal {LOCATION(City):Near You}, --,"Stop Mold, Protect Your Family", --,Mold Clean Up Services, --,Whole Home Mold Treatment, --,Stop The Spread of Mold Today, --,Destroy The Mold In Your Home, --,{LOCATION(City):DC}'s Fastest Mold Fix, --,99.9% of Mold Destroyed, --,Like It Never Even Happened, --,100+ 5-Star Reviews, --,{LOCATION(City):DC}'s #1 Mold Experts, --,We Get Rid of Mold - For Good, --,{Keyword:Black Mold Removal Services}, --,Mold Problems Solved in 1 Day, --,"""Best Decision Ever"" - 5 Stars", --,Specialist Mold Removal Services | We Solve Your Mold Problems in 1 Day | Get A Free Quote, --,Our Patented Dry Fog Destroys 99.9% Of Mold & Is On EPA Safer Chemicals List. #1 Choice., --,#1 Rated Mold Remediation Company in DC | We Get Rid Of Mold & Stop It Returning., --,"Mold Cure Are Mold Testing, Inspections, Remediation & Prevention Specialists.", --,mold-removal,and-remediation,, --, --,,[Core] [Search] Mold Services - DC,Mold Remediation,Eligible,,Excellent,,Responsive search ad,73,"2,450",2.98%,USD,9.65,704.79,10.96%,8.00,88.10
