Asset details report
"March 31, 2026 - April 27, 2026"
Asset status,Asset,Level,Status,Asset type,Position pinning,Added by,Last updated,Impr.,Clicks,Currency code,Cost,Conversions,Conv. value
Enabled,https://tpc.googlesyndication.com/simgad/9613019788869111424,Campaign,Eligible,Image, --,Advertiser,"Apr 18, 2026, 1:46 PM",79,2,USD,22.71,0.00,0.00
Enabled,Multiple Types of Test Offered,Ad,Eligible,Headline, --,Advertiser, --,483,19,USD,349.42,2.00,0.00
Enabled,Certified Mold Inspectors,Ad,Eligible,Headline, --,Advertiser, --,529,19,USD,334.06,0.01,0.00
Enabled,Mold Assessment and Testing,Ad,Eligible,Headline, --,Advertiser, --,470,22,USD,308.23,0.01,0.00
Enabled,Zero Viable Spores,Ad,Eligible,Headline, --,Google AI, --,0,0,USD,0.00,0.00,0.00
Enabled,Eliminate Mold in Just 1 Day,Ad,Eligible,Headline, --,Google AI, --,0,0,USD,0.00,0.00,0.00
Enabled,Rapid Response Team,Account,Eligible,Callout, --,Advertiser,"Nov 6, 2025, 5:53 PM",411,11,USD,208.82,1.00,0.00
Enabled,https://tpc.googlesyndication.com/simgad/12299169404278173034,Campaign,Eligible,Image, --,Advertiser,"Apr 18, 2026, 1:46 PM",62,1,USD,23.99,0.00,0.00
Enabled,Detailed Inspection,Account,Eligible,Callout, --,Advertiser,"Nov 6, 2025, 5:53 PM",680,16,USD,276.05,0.00,0.00
Enabled,"Destinations:Eastern Pennsylvania,Delaware,West Virginia,District of Columbia",Campaign,Eligible,Structured snippet, --,Advertiser,"Apr 18, 2026, 1:51 PM",228,6,USD,150.16,0.00,0.00
Enabled,Hospital-Grade Sterilant,Campaign,Eligible,Callout, --,Advertiser,"Apr 18, 2026, 1:50 PM",98,2,USD,54.19,0.00,0.00
Enabled,"Find Out If, Why There's Mold",Ad,Eligible,Headline, --,Advertiser, --,384,8,USD,59.52,1.00,1.00
Enabled,"""Best Decision Ever"" - 5 Stars",Ad,Eligible,Headline, --,Advertiser, --,488,18,USD,278.97,7.00,0.00
Enabled,"4.9 Rated Mold Experts
7,000+ Happy Homeowners
Top-Rated in Mid-Atlantic
https://moldcure.com/service/mold-remediation",Campaign,Eligible,Sitelink, --,Advertiser,"Apr 18, 2026, 1:49 PM",11,0,USD,0.00,0.00,0.00
Enabled,"MoldCure Are Mold Testing, Inspection, & Remediation Specialists.",Ad,Eligible,Description, --,Advertiser, --,"1,983",82,USD,1354.81,12.00,1.00
Enabled,"Mold Remediation
https://moldcure.com/service/mold-remediation",Campaign,Eligible,Sitelink, --,Advertiser,"Apr 18, 2026, 1:49 PM",35,0,USD,0.00,0.00,0.00
Enabled,"24/7 Emergency Service
We respond in under 60 minutes
Call now for urgent mold cleanup
https://moldcure.com/service/mold-remediation",Campaign,Eligible,Sitelink, --,Advertiser,"Apr 18, 2026, 1:49 PM",45,3,USD,44.20,0.00,0.00
Enabled,"Indoor Air Quality Test
Detect spores & bacteria
Fast results, safe process
https://moldcure.com/service/mold-testing-and-inspections",Campaign,Eligible,Sitelink, --,Advertiser,"Apr 18, 2026, 1:49 PM",144,15,USD,127.94,0.00,0.00
Enabled,"1-Day Mold Treatment
Rapid Dry-Fog Service
Return Home Same Day
https://moldcure.com/service/mold-remediation",Campaign,Eligible,Sitelink, --,Advertiser,"Apr 18, 2026, 1:49 PM",408,23,USD,311.19,1.00,0.00
Enabled,Thorough Mold Inspection,Ad,Eligible,Headline, --,Advertiser, --,43,0,USD,0.00,0.00,0.00
Enabled,BBB Accredited Business,Campaign,Eligible,Callout, --,Advertiser,"Apr 18, 2026, 1:50 PM",19,0,USD,0.00,0.00,0.00
Enabled,"Bathroom Mold Cleaning
Remove mold from tiles fast
Safe for family & fixtures
https://moldcure.com/service/mold-remediation",Campaign,Eligible,Sitelink, --,Advertiser,"Apr 18, 2026, 1:49 PM",33,0,USD,0.00,0.00,0.00
Enabled,"DC's #1 Mold Specialists. From Testing To Remediation, Your Mold Problem, Resolved.",Ad,Eligible,Description, --,Advertiser, --,688,28,USD,599.99,5.01,1.00
Enabled,https://tpc.googlesyndication.com/simgad/2360024392839181103,Campaign,Eligible,Image, --,Advertiser,"Apr 18, 2026, 1:46 PM",0,0,USD,0.00,0.00,0.00
Enabled,Professional Mold Testing,Ad,Eligible,Headline, --,Advertiser, --,31,1,USD,9.50,0.00,0.00
Enabled,Indoor Air Quality Testing,Ad,Eligible,Headline, --,Advertiser, --,"1,009",55,USD,716.66,10.00,0.00
Enabled,"NORMI & MICRO Certified
Trusted Mold Removal Team
100% Compliance Guaranteed
https://moldcure.com/service/mold-remediation",Campaign,Eligible,Sitelink, --,Advertiser,"Apr 18, 2026, 1:49 PM",50,2,USD,8.30,0.00,0.00
Enabled,Mold Remediation,Ad,Eligible,Headline, --,Google AI, --,0,0,USD,0.00,0.00,0.00
Enabled,EPA-Approved Process,Campaign,Eligible,Callout, --,Advertiser,"Apr 18, 2026, 1:50 PM",61,2,USD,31.32,1.00,0.00
Enabled,EPA Green Listed,Campaign,Eligible,Callout, --,Advertiser,"Apr 18, 2026, 1:50 PM",72,3,USD,42.44,1.00,0.00
Enabled,Mold Removal Experts,Ad,Eligible,Headline, --,Google AI, --,0,0,USD,0.00,0.00,0.00
Enabled,"2-Year Mold-Free Warranty
Guaranteed safe & clean home
Transferable to new buyers
https://moldcure.com/service/mold-remediation",Campaign,Eligible,Sitelink, --,Advertiser,"Apr 18, 2026, 1:49 PM",4,0,USD,0.00,0.00,0.00
Enabled,Dry Fog Mold Treatment,Campaign,Eligible,Callout, --,Advertiser,"Apr 18, 2026, 1:50 PM",21,0,USD,0.00,0.00,0.00
Enabled,Safe & Non-Toxic,Ad,Eligible,Headline, --,Google AI, --,0,0,USD,0.00,0.00,0.00
