Search keyword report
"March 31, 2026 - April 27, 2026"
Keyword status,Keyword,Match type,Campaign,Ad group,Status,Status reasons,Final URL,Impr.,CTR,Currency code,Cost,Clicks,Conv. rate,Conversions,Avg. CPC,Cost / conv.
Enabled,[mold clean up services],Exact match,[Core] [Search] Mold Services - Pennsylvania [PENDING],Mold Remediation,Not eligible,campaign paused,,0, --,USD,0.00,0,0.00%,0.00,0,0.00
Enabled,[mold specialist near me],Exact match,[Core] [Search] Mold Services - Pennsylvania [PENDING],Mold Remediation,Not eligible,campaign paused,,0, --,USD,0.00,0,0.00%,0.00,0,0.00
Enabled,mold removal,Broad match,[Core] [Search] Mold Services - Pennsylvania [PENDING],Mold Remediation,Not eligible,low quality; campaign paused,,40,0.00%,USD,0.00,0,0.00%,0.00,0,0.00
Enabled,mold remediation near me,Broad match,[Core] [Search] Mold Services - Pennsylvania [PENDING],Mold Remediation,Not eligible,campaign paused,,0, --,USD,0.00,0,0.00%,0.00,0,0.00
Enabled,[mold clean up near me],Exact match,[Core] [Search] Mold Services - Pennsylvania [PENDING],Mold Remediation,Not eligible,campaign paused,,0, --,USD,0.00,0,0.00%,0.00,0,0.00
Enabled,[mold remediation near me],Exact match,[Core] [Search] Mold Services - Pennsylvania [PENDING],Mold Remediation,Not eligible,campaign paused,,0, --,USD,0.00,0,0.00%,0.00,0,0.00
Enabled,[mold remediation services],Exact match,[Core] [Search] Mold Services - Pennsylvania [PENDING],Mold Remediation,Not eligible,campaign paused,,0, --,USD,0.00,0,0.00%,0.00,0,0.00
Enabled,mold remediation,Broad match,[Core] [Search] Mold Services - Pennsylvania [PENDING],Mold Remediation,Not eligible,campaign paused,,3,0.00%,USD,0.00,0,0.00%,0.00,0,0.00
Enabled,[mold mitigation company],Exact match,[Core] [Search] Mold Services - Pennsylvania [PENDING],Mold Remediation,Not eligible,campaign paused,,0, --,USD,0.00,0,0.00%,0.00,0,0.00
Enabled,mold remediation services,Broad match,[Core] [Search] Mold Services - Pennsylvania [PENDING],Mold Remediation,Not eligible,campaign paused,,1,0.00%,USD,0.00,0,0.00%,0.00,0,0.00
